year,month,temp,temp_source,tmin,tmin_source,tmax,tmax_source,txmn,txmn_source,txmx,txmx_source,prcp,prcp_source,pres,pres_source,tsun,tsun_source
2019,1,26.3,climat,21.1,climat,32.9,climat,14.5,climat,42.5,climat,390.0,climat,1008.4,climat,11040,climat
2019,2,25.5,climat,20.1,climat,31.9,climat,14.8,climat,41.0,climat,11.0,climat,1010.7,climat,14160,climat
2019,3,22.1,climat,18.0,climat,28.3,climat,13.0,climat,38.5,climat,77.0,climat,1013.5,climat,8400,climat
2019,4,19.9,climat,15.3,climat,25.7,climat,8.0,climat,31.4,climat,83.0,climat,1014.0,climat,8520,climat
2019,5,16.0,climat,11.2,climat,22.1,climat,1.0,climat,28.0,climat,9.0,climat,1015.3,climat,8820,climat
2019,6,13.6,climat,8.2,climat,20.6,climat,-3.6,climat,27.5,climat,3.0,climat,1015.0,climat,7080,climat
2019,7,12.4,climat,5.6,climat,20.6,climat,-2.4,climat,29.0,climat,1.0,climat,1017.8,climat,9660,climat
2019,8,15.0,climat,6.1,climat,24.7,climat,-3.0,climat,36.5,climat,0.0,climat,1018.9,climat,14280,climat
2019,9,18.4,climat,9.3,climat,27.5,climat,1.9,climat,40.5,climat,0.0,climat,1014.8,climat,11400,climat
2019,10,22.5,climat,15.4,climat,30.5,climat,5.0,climat,43.0,climat,17.0,climat,1011.7,climat,12300,climat
2019,11,27.1,climat,20.0,climat,34.1,climat,15.0,climat,42.0,climat,90.0,climat,1008.2,climat,13080,climat
2019,12,26.6,climat,20.1,climat,34.3,climat,12.3,climat,41.3,climat,58.0,climat,1008.6,climat,11460,climat
2020,1,28.1,climat,21.6,climat,35.2,climat,14.8,climat,42.0,climat,93.0,climat,1008.4,climat,,
2020,2,25.9,climat,20.5,climat,32.3,climat,13.2,climat,41.0,climat,151.0,climat,1010.7,climat,,
2020,3,25.7,climat,19.2,climat,32.7,climat,14.3,climat,40.5,climat,88.0,climat,1010.5,climat,12720,climat
2020,4,20.8,climat,14.4,climat,28.0,climat,7.3,climat,36.0,climat,28.0,climat,1015.3,climat,11040,climat
2020,5,15.7,climat,8.2,climat,25.0,climat,-1.6,climat,30.8,climat,8.0,climat,1016.4,climat,12960,climat
2020,6,13.4,climat,6.8,climat,22.0,climat,-3.3,climat,30.5,climat,2.0,climat,1014.1,climat,9360,climat
2020,7,10.9,climat,3.3,climat,20.3,climat,-3.8,climat,30.1,climat,0.0,climat,1016.8,climat,11520,climat
2020,8,16.0,climat,7.1,climat,25.8,climat,-4.7,climat,34.8,climat,0.0,climat,1015.1,climat,14160,climat
2020,9,20.2,climat,10.4,climat,29.2,climat,0.4,climat,40.5,climat,0.0,climat,1013.8,climat,13140,climat
2020,10,23.4,climat,15.4,climat,31.5,climat,6.0,climat,42.4,climat,9.0,climat,1012.3,climat,14100,climat
2020,11,26.3,climat,18.8,climat,33.7,climat,9.8,climat,41.3,climat,91.0,climat,1010.5,climat,15060,climat
2020,12,27.6,climat,19.8,climat,35.4,climat,11.0,climat,42.5,climat,56.0,climat,1008.4,climat,15660,climat
2021,1,26.8,climat,20.1,climat,34.2,climat,12.2,climat,40.3,climat,98.0,climat,1008.2,climat,13920,climat
2021,2,25.4,climat,19.7,climat,31.5,climat,15.2,climat,37.0,climat,155.0,climat,1011.1,climat,11280,climat
2021,3,23.7,climat,18.0,climat,30.3,climat,9.8,climat,36.4,climat,197.0,climat,1012.3,climat,11220,climat
2021,4,22.1,climat,16.7,climat,28.6,climat,7.0,climat,35.5,climat,37.0,climat,1013.3,climat,9420,climat
2021,5,15.2,climat,8.0,climat,24.0,climat,-0.2,climat,31.0,climat,5.0,climat,1016.7,climat,11100,climat
2021,6,11.7,climat,4.9,climat,20.2,climat,-6.4,climat,31.0,climat,2.0,climat,1019.1,climat,9240,climat
2021,7,12.4,climat,3.6,climat,23.0,climat,-4.7,climat,31.2,climat,0.0,climat,1018.7,climat,14340,climat
2021,8,15.4,climat,5.1,climat,26.5,climat,-2.3,climat,37.0,climat,0.0,climat,1016.3,climat,13800,climat
2021,9,21.0,climat,13.2,climat,29.2,climat,3.3,climat,37.8,climat,5.0,climat,1013.3,climat,10740,climat
2021,10,23.9,climat,14.8,climat,32.5,climat,3.1,climat,40.8,climat,25.0,climat,1012.0,climat,15060,climat
2021,11,23.7,climat,16.8,climat,31.9,climat,9.6,climat,41.5,climat,67.0,climat,1011.1,climat,11640,climat
2021,12,28.9,climat,22.0,climat,36.0,climat,17.4,climat,43.4,climat,64.0,climat,1008.7,climat,10740,climat
2022,1,29.4,climat,21.8,climat,37.5,climat,15.0,climat,45.6,climat,68.0,climat,1006.3,climat,13920,climat
2022,2,26.5,climat,19.0,climat,34.9,climat,9.9,climat,42.2,climat,60.0,climat,1009.6,climat,12900,climat
2022,3,22.6,climat,16.5,climat,29.6,climat,2.7,climat,40.4,climat,177.0,climat,1011.9,climat,10620,climat
2022,4,20.0,climat,13.3,climat,27.3,climat,3.8,climat,34.7,climat,14.0,climat,1012.4,climat,9660,climat
2022,5,15.0,climat,8.3,climat,22.9,climat,-2.7,climat,28.7,climat,0.5,climat,1018.1,climat,9420,climat
2022,6,11.5,climat,4.9,climat,20.1,climat,-2.4,climat,25.2,climat,9.0,climat,1017.9,climat,9060,climat
2022,7,14.2,climat,6.4,climat,23.6,climat,-5.1,climat,32.2,climat,0.5,climat,1013.1,climat,11700,climat
2022,8,15.0,climat,5.3,climat,25.2,climat,-3.0,climat,34.2,climat,3.0,climat,1016.9,climat,,
2022,9,18.0,climat,7.8,climat,26.8,climat,0.1,climat,34.6,climat,8.0,climat,1016.3,climat,,
2022,10,22.3,climat,13.6,climat,30.7,climat,3.6,climat,42.7,climat,5.0,climat,1012.9,climat,14520,climat
2022,11,25.9,climat,16.3,climat,34.5,climat,1.3,climat,40.2,climat,106.0,climat,1011.3,climat,16320,climat
2022,12,28.6,climat,20.1,climat,37.2,climat,11.8,climat,45.3,climat,29.0,climat,1007.9,climat,14760,climat
2023,1,30.0,climat,22.6,climat,37.8,climat,15.0,climat,45.2,climat,87.0,climat,1007.5,climat,,
2023,2,26.7,climat,19.4,climat,34.8,climat,8.8,climat,42.4,climat,88.0,climat,1009.3,climat,,
2023,3,27.8,climat,21.8,climat,35.1,climat,18.4,climat,39.5,climat,156.0,climat,1009.2,climat,,
2023,4,20.0,climat,15.4,climat,26.0,climat,8.8,climat,32.6,climat,115.0,climat,1013.3,climat,,
2023,5,18.0,climat,13.5,climat,23.8,climat,8.1,climat,29.2,climat,16.0,climat,1015.4,climat,,
2023,6,14.9,climat,9.7,climat,21.6,climat,-4.0,climat,29.7,climat,2.0,climat,1017.2,climat,,
2023,7,14.9,climat,8.9,climat,22.3,climat,-2.4,climat,31.9,climat,0.5,climat,1016.3,climat,,
2023,8,17.2,climat,7.7,climat,27.0,climat,0.7,climat,36.2,climat,0.0,climat,1013.2,climat,14640,climat
2023,9,20.2,climat,13.2,climat,27.9,climat,3.4,climat,39.7,climat,4.0,climat,1011.8,climat,9600,climat
2023,10,23.5,climat,15.8,climat,31.5,climat,5.4,climat,41.2,climat,30.0,climat,1009.8,climat,11880,climat
2023,11,25.8,climat,19.0,climat,33.4,climat,7.2,climat,44.9,climat,91.0,climat,1007.0,climat,11580,climat
2023,12,26.6,climat,21.0,climat,33.2,climat,14.0,climat,43.2,climat,114.0,climat,1008.2,climat,10860,climat