date,tavg,tmin,tmax,prcp,pres,tsun
1/1/2019,27,21.1,32.9,390,1008.4,11040
1/2/2019,26,20.1,31.9,11,1010.7,14160
1/3/2019,23.15,18,28.3,77,1013.5,8400
1/4/2019,20.5,15.3,25.7,83,1014,8520
1/5/2019,16.65,11.2,22.1,9,1015.3,8820
1/6/2019,14.4,8.2,20.6,3,1015,7080
1/7/2019,13.1,5.6,20.6,1,1017.8,9660
1/8/2019,15.4,6.1,24.7,0,1018.9,14280
1/9/2019,18.4,9.3,27.5,0,1014.8,11400
1/10/2019,22.95,15.4,30.5,17,1011.7,12300
1/11/2019,27.05,20,34.1,90,1008.2,13080
1/12/2019,27.2,20.1,34.3,58,1008.6,11460
1/1/2020,28.4,21.6,35.2,93,1008.4,
1/2/2020,26.4,20.5,32.3,151,1010.7,
1/3/2020,25.95,19.2,32.7,88,1010.5,12720
1/4/2020,21.2,14.4,28,28,1015.3,11040
1/5/2020,16.6,8.2,25,8,1016.4,12960
1/6/2020,14.4,6.8,22,2,1014.1,9360
1/7/2020,11.8,3.3,20.3,0,1016.8,11520
1/8/2020,16.45,7.1,25.8,0,1015.1,14160
1/9/2020,19.8,10.4,29.2,0,1013.8,13140
1/10/2020,23.45,15.4,31.5,9,1012.3,14100
1/11/2020,26.25,18.8,33.7,91,1010.5,15060
1/12/2020,27.6,19.8,35.4,56,1008.4,15660
1/1/2021,27.15,20.1,34.2,98,1008.2,13920
1/2/2021,25.6,19.7,31.5,155,1011.1,11280
1/3/2021,24.15,18,30.3,197,1012.3,11220
1/4/2021,22.65,16.7,28.6,37,1013.3,9420
1/5/2021,16,8,24,5,1016.7,11100
1/6/2021,12.55,4.9,20.2,2,1019.1,9240
1/7/2021,13.3,3.6,23,0,1018.7,14340
1/8/2021,15.8,5.1,26.5,0,1016.3,13800
1/9/2021,21.2,13.2,29.2,5,1013.3,10740
1/10/2021,23.65,14.8,32.5,25,1012,15060
1/11/2021,24.35,16.8,31.9,67,1011.1,11640
1/12/2021,29,22,36,64,1008.7,10740
1/1/2022,29.65,21.8,37.5,68,1006.3,13920
1/2/2022,26.95,19,34.9,60,1009.6,12900
1/3/2022,23.05,16.5,29.6,177,1011.9,10620
1/4/2022,20.3,13.3,27.3,14,1012.4,9660
1/5/2022,15.6,8.3,22.9,0.5,1018.1,9420
1/6/2022,12.5,4.9,20.1,9,1017.9,9060
1/7/2022,15,6.4,23.6,0.5,1013.1,11700
1/8/2022,15.25,5.3,25.2,3,1016.9,
1/9/2022,17.3,7.8,26.8,8,1016.3,
1/10/2022,22.15,13.6,30.7,5,1012.9,14520
1/11/2022,25.4,16.3,34.5,106,1011.3,16320
1/12/2022,28.65,20.1,37.2,29,1007.9,14760
1/1/2023,30.2,22.6,37.8,87,1007.5,
1/2/2023,27.1,19.4,34.8,88,1009.3,
1/3/2023,28.45,21.8,35.1,156,1009.2,
1/4/2023,20.7,15.4,26,115,1013.3,
1/5/2023,18.65,13.5,23.8,16,1015.4,
1/6/2023,15.65,9.7,21.6,2,1017.2,
1/7/2023,15.6,8.9,22.3,0.5,1016.3,
1/8/2023,17.35,7.7,27,0,1013.2,14640
1/9/2023,20.55,13.2,27.9,4,1011.8,9600
1/10/2023,23.65,15.8,31.5,30,1009.8,11880
1/11/2023,26.2,19,33.4,91,1007,11580
1/12/2023,27.1,21,33.2,114,1008.2,10860